Record_Name,Field Business Name,"Field
Length","Starting
Position","Required/ Optional
",Description
PARTNER,PARTNER,X(8),1,R,Identify the Record ‘PARTNER’
PARTNER,PARTNER,X(10),9,R,"Customer Code in A1 3PL
Identify the PARTNER ID"
PARTNER,ROUTE,X(8),1,R,Identify the Record ‘ROUTE’ 
PARTNER,ROUTE,X(10),9,R,Customer Code in A1 3PL
PARTNER,COMPANY,X(8),1,R,Identify the Record ‘COMPANY’
PARTNER,COMPANY,X(2),9,R,Company Code in A1 3PL
PARTNER,SET,X(3),1,R,Identify the Record ‘SET’
PARTNER,SET,X(3),9,R,Transaction Set ID ‘943’
PARTNER,BEGIN,X(8),1,R,Identify Record
I943_1020_004010,Record ID,X(20),1,R,"Record ID
‘I943_1020_004010’"
I943_1020_004010,Record Type,X(4),21,R,"Record Type
1020"
I943_1020_004010,Reporting Code,X(1),25,R,"Reporting Code 
‘F’"
I943_1020_004010,Depositor Order Number,X(22),26,R,Customer Reference Number
I943_1020_004010,Date,X(8),48,R,"Receipt Date 
‘CCYYMMDD’"
I943_1020_004010,Pro Bill Number,X(22),56,O,Pro Bill Number
I943_1020_004010,Filler,X(8),78,O,Filler
I943_1020_004010,Shipment ID number ,X(12),86,O,EDI Data
I943_1020_004010,PO Reference Number ,X(22) ,98,O,Reference Number 1
I943_1020_004010,Reference Number ,X(22) ,120,O,Reference Number 2
I943_1020_004010,Reference Number ,X(8),142,O,EDI Data
I943_1020_004010,Handling Code,X(3),150,O,Not used
I943_1020_004010,Shipping Code ,X(2),153,O,Not used
I943_1020_004010,Type Code,X(2),155,O,Not used
I943_1020_004010,Action code ,X(2),157,O,"Action
‘R’ – Replacement
‘D’ – Deletion

Default (blank) - Add"
I943_1020_004010,Load Type Code,X(4),159,O,3PL Load Type
I943_1020_004010,Warehouse Code,X(4),163,O,3PL Warehouse Code
I943_1040_004010,Record ID,X(20),1,R,"Record ID
‘I943_1040_004010’"
I943_1040_004010,Record Type,X(4),21,R,"Record Type
1040"
I943_1040_004010,Identifier Code,X(3),25,R,"Organization ID Code:
‘SF’ – Ship From"
I943_1040_004010,Name,X(60),28,R,Shipper Name
I943_1040_004010,ID Type,X(2),88,O,‘91’
I943_1040_004010,Entity Code,X(80),90,O,Shipper External Number
I943_1060_004010,Record ID,X(20),1,R,"Record ID
‘I943_1060_004010’"
I943_1060_004010,Record Type,X(4),21,R,"Record Type
1060"
I943_1060_004010,Address,X(55),25,O,Address 1
I943_1060_004010,Address,X(55),80,O,Address 2
I943_1060_004010,Record ID,X(20),1,R,"Record ID
‘I943_1060_004010’"
I943_1060_004010,Record Type,X(4),21,R,"Record Type
1060"
I943_1060_004010,Address,X(55),25,O,Address 3
I943_1060_004010,Address,X(55),80,O,Address 4
I943_1070_004010,Record ID,X(20),1,R,"Record ID
‘I943_1070_004010’"
I943_1070_004010,Record Type,X(4),21,R,"Record Type
1070"
I943_1070_004010,City,X(30),25,O,City Name
I943_1070_004010,State,X(2),55,O,State Code
I943_1070_004010,Postal/Zip,X(15),57,O,Postal Code
I943_1070_004010,Country,X(3),72,O,Country Code
I943_1070_004010,Location Qualifier,X(2),75,O,Filler
I943_1070_004010,Location,X(30),77,,Filler
I943_1070_004010,State Extended,X(4),107,O,State Code
I943_1090_004010,Record ID,X(20),1,R,"Record ID
‘I943_1090_004010’"
I943_1090_004010,Record Type,X(4),21,R,"Record Type
1090"
I943_1090_004010,Qualifier,X(3),25,O,"Reference Qualifier
Any Qualifiers are supported"
I943_1090_004010,Reference ID,X(30),28,O,"Reference ID
EDI Data"
