Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
Document,,,LS,,,,,,1..1,,,,LOOP START - Document,
ST_GRP,,,LS,,,,,,1 .. *,,,,,
ST,,,RC,,,,,,1 .. 1,,,,,
,ST_REC_ID,,RT,,,1,4,4,M,,"""ST""","""ST""",,
,ST_FLR1,,AN,,,5,5,1,O,,,,,
,ST_TPCODE,,AN,,,6,25,20,M,,,,,
,ST_FILLER,,AN,,,26,1049,1024,O,,,,,
B3_GRP,,,LS,,,,,,1 .. *,,,,,
B3,,,RC,,,,,,1 .. 1,,,,,
,B3_RecID,,RT,,,1,4,4,M,,"""B3""","""B3""",,
,B3_FLR1,,AN,,,5,5,1,O,,,,,
,B3_B301,,AN,,,6,6,1,O,,,,,
,B3_FLR2,,AN,,,7,7,1,O,,,,,
,B3_B302,,AN,,,8,29,22,O,,,,,
,B3_FLR3,,AN,,,30,30,1,O,,,,,
,B3_B303,,AN,,,31,60,30,O,,,,,
,B3_FLR4,,AN,,,61,61,1,O,,,,,
,B3_B304,,AN,,,62,63,2,O,,,,,
,B3_FLR5,,AN,,,64,64,1,O,,,,,
,B3_B305,,AN,,,65,65,1,O,,,,,
,B3_FLR6,,AN,,,66,66,1,O,,,,,
,B3_B306,,DT,,YYYYMMDD,67,74,8,O,,,,,
,B3_FLR7,,AN,,,75,75,1,O,,,,,
,B3_B307,,N,,N2,76,87,12,O,,,,,
,B3_FLR8,,AN,,,88,88,1,O,,,,,
,B3_B308,,AN,,,89,90,2,O,,,,,
,B3_FLR9,,AN,,,91,91,1,O,,,,,
,B3_B309,,DT,,YYYYMMDD,92,99,8,O,,,,,
,B3_FLR10,,AN,,,100,100,1,O,,,,,
,B3_B310,,AN,,,101,103,3,O,,,,,
,B3_FLR11,,AN,,,104,104,1,O,,,,,
,B3_B311,,AN,,,105,108,4,O,,,,,
,B3_FLR12,,AN,,,109,109,1,O,,,,,
,B3_B312,,DT,,YYYYMMDD,110,117,8,O,,,,,
,B3_FLR13,,AN,,,118,118,1,O,,,,,
,B3_B313,,AN,,,119,120,2,O,,,,,
,B3_FLR14,,AN,,,121,121,1,O,,,,,
,B3_B314,,AN,,,122,124,3,O,,,,,
,B3_FILLER,,AN,,,125,1148,1024,O,,,,,
C3,,,RC,,,,,,0 .. 1,,,,,
,C3_RecID,,RT,,,1,4,4,M,,"""C3""","""C3""",,
,C3_FLR,,AN,,,5,5,1,O,,,,,
,C3_C301,,AN,,,6,8,3,O,,,,,
,C3_FLR2,,AN,,,9,9,1,O,,,,,
,C3_C302,,AN,,,10,19,10,O,,,,,
,C3_FLR3,,AN,,,20,20,1,O,,,,,
,C3_C303,,AN,,,21,23,3,O,,,,,
,C3_FILLER,,AN,,,24,1047,1024,O,,,,,
N9,,,,,,,,,0 .. *,,,,,
,N9_RecID,,RT,,,1,4,4,M,,"""N9""","""N9""",,
,N9_FLR1,,AN,,,5,5,1,O,,,,,
,N9_N901,,AN,,,6,8,3,O,,,,,
,N9_FLR2,,AN,,,9,9,1,O,,,,,
,N9_N902,,AN,,,10,39,30,O,,,,,
,N9_FLR3,,AN,,,40,40,1,O,,,,,
,N9_N903,,AN,,,41,85,45,O,,,,,
,N9_FILLER,,AN,,,86,1109,1024,O,,,,,
L11,,,RC,,,,,,0 .. *,,,,Not present in target,
,L11_RecID,,RT,,,1,4,4,M,,"""L11""","""L11""",,
,L11_FLR1,,AN,,,5,5,1,O,,,,,
,L1101,,AN,,,6,55,50,O,,,,,
,L11_FLR2,,AN,,,56,56,1,O,,,,,
,L1102,,AN,,,57,59,3,O,,,,,
,L11_FILLER,,AN,,,60,1083,1024,O,,,,,
G62,,,RC,,,,,,0 .. *,,,,,
,G62_RecordID,,RT,,,1,4,4,M,,"""G62""","""G62""",,
,G62_FLR1,,AN,,,5,5,1,O,,,,,
,G6201,,AN,,,6,7,2,O,,,,,
,G62_FLR2,,AN,,,8,8,1,O,,,,,
,G6202,,DT,,YYYYMMDD,9,16,8,O,,,,,
,G62_FLR3,,AN,,,17,17,1,O,,,,,
,G6203,,AN,,,18,19,2,O,,,,,
,G62_FLR4,,AN,,,20,20,1,O,,,,,
,G6204,,TM,,HHMM,21,28,8,O,,,,,
,G62_FLR5,,AN,,,29,29,1,O,,,,,
,G6205,,AN,,,30,31,2,O,,,,,
,G62_FILLER,,AN,,,32,1055,1024,O,,,,,
R3,,,RC,,,,,,0 .. 1,,,,,
,R3_RecordID,,RT,,,1,4,4,M,,"""R3""","""R3""",,
,R3_FLR1,,AN,,,5,5,1,O,,,,,
,R301,,AN,,,6,9,4,O,,,,,
,R3_FLR2,,AN,,,10,10,1,O,,,,,
,R302,,AN,,,11,12,2,O,,,,,
,R3_FLR3,,AN,,,13,13,1,O,,,,,
,R303,,AN,,,14,43,30,O,,,,,
,R3_FLR4,,AN,,,44,44,1,O,,,,,
,R304,,AN,,,45,46,2,O,,,,,
,R3_FLR5,,AN,,,47,47,1,O,,,,,
,R305,,AN,,,48,56,9,O,,,,,
,R3_FLR6,,AN,,,57,57,1,O,,,,,
,R306,,AN,,,58,79,22,O,,,,,
,R3_FLR7,,AN,,,80,80,1,O,,,,,
,R307,,DT,,YYYYMMDD,81,88,8,O,,,,,
,R3_FLR8,,AN,,,89,89,1,O,,,,,
,R308,,N,,N2,90,104,15,O,,,,,
,R3_FLR9,,AN,,,105,105,1,O,,,,,
,R309,,AN,,,106,150,45,O,,,,,
,R3_FLR10,,AN,,,151,151,1,O,,,,,
,R310,,AN,,,152,153,2,O,,,,,
,R3_FLR11,,AN,,,154,154,1,O,,,,,
,R311,,AN,,,155,156,2,O,,,,,
,R3_FILLER,,AN,,,157,1180,1024,O,,,,,
H3,,,RC,,,,,,0 .. 1,,,,,
,H3_RecID,,RT,,,1,4,4,M,,"""H3""","""H3""",,
